epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
98,82619.6,1.44786,0.89823,1.11182,0.87228,0.7677,0.82266,0.47011,1.59543,1.09253,1.14557,0.0051985,0.0051985,0.0051985
99,83461.5,1.44273,0.89339,1.10749,0.8724,0.76832,0.82292,0.47083,1.5941,1.08998,1.1449,0.005149,0.005149,0.005149
100,84299.1,1.43006,0.86627,1.10545,0.87329,0.7688,0.82346,0.47131,1.59219,1.08717,1.14421,0.0050995,0.0050995,0.0050995
101,85145.1,1.42416,0.86282,1.10216,0.87371,0.76905,0.824,0.47179,1.59139,1.08599,1.14383,0.00505,0.00505,0.00505
102,85998.3,1.43074,0.87696,1.10506,0.87468,0.76926,0.82454,0.47236,1.59051,1.08475,1.14352,0.0050005,0.0050005,0.0050005
103,86833.7,1.41693,0.85659,1.09769,0.87457,0.76994,0.82486,0.47306,1.58951,1.08411,1.14331,0.004951,0.004951,0.004951
104,87668.5,1.40311,0.84944,1.09212,0.87528,0.77053,0.82561,0.47391,1.588,1.08242,1.14281,0.0049015,0.0049015,0.0049015
105,88505.9,1.40051,0.85538,1.09121,0.87629,0.77085,0.8261,0.47446,1.58721,1.08086,1.14249,0.004852,0.004852,0.004852
106,89351.1,1.39346,0.83872,1.08887,0.87638,0.77209,0.82698,0.47537,1.58639,1.07868,1.142,0.0048025,0.0048025,0.0048025
107,90213,1.40264,0.83756,1.09281,0.8758,0.77243,0.82714,0.4759,1.58586,1.07722,1.14181,0.004753,0.004753,0.004753
108,91059,1.38709,0.8378,1.08705,0.87659,0.77255,0.82746,0.47647,1.58517,1.07608,1.14139,0.0047035,0.0047035,0.0047035
109,91899.2,1.38271,0.84161,1.08394,0.87706,0.77298,0.82813,0.47707,1.58342,1.07464,1.14068,0.004654,0.004654,0.004654
